miRNA_signature	Cancer_type	Expression	classification	score_details	Classification	Score_Details
hsa-miR-29a-5p	KIRC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.342603826709551 ( Endothelial cell_XCELL(-0.342603826709551) ) Dualista: 0.318433427802359 ( Hematopoietic stem cell_XCELL(-0.318433427802359) )
hsa-miR-29a-5p	STAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.728976062537732 ( T cell CD4+ memory activated_CIBERSORT(0.351931146856339), T cell CD4+ Th1_XCELL(0.377044915681393) ) Pró-tumoral: -0.648064515712939 ( Endothelial cell_XCELL(-0.289487404402288), Cancer associated fibroblast_XCELL(-0.358577111310651) ) Dualista: -0.556302793029735 ( Mast cell activated_CIBERSORT(-0.373429957751586), Hematopoietic stem cell_XCELL(-0.463917199646051), T cell CD4+ Th2_XCELL(0.281044364367902) )
hsa-miR-29b-1-5p	BRCA	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.238143017995221 ( T cell CD4+ memory activated_CIBERSORT(0.238143017995221) ) Pró-tumoral: -0.371079149386092 ( Cancer associated fibroblast_XCELL(-0.19523360468615), Endothelial cell_XCELL(-0.175845544699942) ) Dualista: -0.215972421231089 ( T cell CD4+ Th2_XCELL(0.277881058183346), Mast cell activated_CIBERSORT(-0.292241774175128), Hematopoietic stem cell_XCELL(-0.201611705239307) )
hsa-miR-29b-1-5p	COAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.361920089776736 ( T cell CD4+ Th1_XCELL(0.361920089776736) ) Pró-tumoral: -0.373693938913446 ( Endothelial cell_XCELL(-0.373693938913446) ) Dualista: -0.419257685066848 ( Hematopoietic stem cell_XCELL(-0.419257685066848) )
hsa-miR-29b-1-5p	HNSC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.282139530264304 ( Cancer associated fibroblast_XCELL(-0.282139530264304) ) Dualista: -0.03609299184106 ( Hematopoietic stem cell_XCELL(-0.292279874188715), T cell CD4+ Th2_XCELL(0.256186882347655) )
hsa-miR-29b-2-5p	LUAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: -0.52714380815823 ( T cell CD4+ memory activated_CIBERSORT(-0.277805426154583), Common lymphoid progenitor_XCELL(-0.249338382003647) ) Pró-tumoral: 0 (  ) Dualista: 0.173967672457136 ( Mast cell activated_CIBERSORT(0.268515335933562), Hematopoietic stem cell_XCELL(0.342718616390445), T cell CD4+ Th2_XCELL(-0.437266279866871) )
hsa-miR-29b-3p	BRCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.349570002534232 ( T cell CD4+ memory activated_CIBERSORT(0.174785001267116), T cell CD4+ memory activated_CIBERSORT(0.174785001267116) ) Pró-tumoral: -0.902391290470978 ( Cancer associated fibroblast_XCELL(-0.270055957456651), Endothelial cell_XCELL(-0.181139687778838), Cancer associated fibroblast_XCELL(-0.270055957456651), Endothelial cell_XCELL(-0.181139687778838) ) Dualista: -0.644811293654384 ( Hematopoietic stem cell_XCELL(-0.302108323884942), Class-switched memory B cell_XCELL(0.261990242824018), Mast cell activated_CIBERSORT(-0.282287565766268), Hematopoietic stem cell_XCELL(-0.302108323884942), Class-switched memory B cell_XCELL(0.261990242824018), Mast cell activated_CIBERSORT(-0.282287565766268) )
hsa-miR-29b-3p	COAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: -0.017881289001431 ( Granulocyte-monocyte progenitor_XCELL(-0.339726377500459), T cell CD4+ Th1_XCELL(0.321845088499028) ) Pró-tumoral: -0.363294378931433 ( Endothelial cell_XCELL(-0.363294378931433) ) Dualista: -0.333484860523212 ( Hematopoietic stem cell_XCELL(-0.333484860523212) )
hsa-miR-29b-3p	KIRC	Unchanged	Variável	"c(""""T cell regulatory (Tregs)_CIBERSORT"""", """"T cell regulatory (Tregs)_CIBERSORT""""), c(0.286939113411969, 0.286939113411969), c(1, 1), c(""""Variable"""", """"Variable"""")"	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.377097781711084 ( T cell regulatory (Tregs)_CIBERSORT(0.286939113411969), Endothelial cell_XCELL(-0.475488004267511), T cell regulatory (Tregs)_CIBERSORT(0.286939113411969), Endothelial cell_XCELL(-0.475488004267511) ) Dualista: -0.162663268179658 ( Monocyte_CIBERSORT(-0.244518389119536), T cell CD4+ Th2_XCELL(0.286732177478346), Hematopoietic stem cell_XCELL(-0.446454079890878), T cell follicular helper_CIBERSORT(0.253940316837516), Class-switched memory B cell_XCELL(0.366178487212022), Mast cell activated_CIBERSORT(-0.297210146607299), Monocyte_CIBERSORT(-0.244518389119536), T cell CD4+ Th2_XCELL(0.286732177478346), Hematopoietic stem cell_XCELL(-0.446454079890878), T cell follicular helper_CIBERSORT(0.253940316837516), Class-switched memory B cell_XCELL(0.366178487212022), Mast cell activated_CIBERSORT(-0.297210146607299) )
hsa-miR-29b-3p	LUSC	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 1.31803643721357 ( Class-switched memory B cell_XCELL(0.380741223692299), B cell memory_CIBERSORT(0.278276994914485), Class-switched memory B cell_XCELL(0.380741223692299), B cell memory_CIBERSORT(0.278276994914485) )
hsa-miR-29b-3p	STAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.321671507375653 ( T cell CD4+ Th1_XCELL(0.321671507375653) ) Pró-tumoral: -0.749808230427189 ( Endothelial cell_XCELL(-0.295908101725854), Cancer associated fibroblast_XCELL(-0.453900128701335) ) Dualista: -0.379889375884529 ( Class-switched memory B cell_XCELL(0.348286436085937), Mast cell activated_CIBERSORT(-0.298654570153189), Hematopoietic stem cell_XCELL(-0.429521241817277) )
hsa-miR-29c-3p	BRCA	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: -0.304693694569366 ( Macrophage M0_CIBERSORT(-0.171912653346912), T cell CD4+ Th2_XCELL(-0.317835875168668), Class-switched memory B cell_XCELL(0.185054833946214) )
hsa-miR-29c-3p	LUSC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.506784965265058 ( Common lymphoid progenitor_XCELL(-0.253392482632529), Common lymphoid progenitor_XCELL(-0.253392482632529) ) Pró-tumoral: -0.571232641896784 ( Cancer associated fibroblast_XCELL(0.285616320948392), Cancer associated fibroblast_XCELL(0.285616320948392) ) Dualista: -2.76639964483564 ( B cell memory_CIBERSORT(0.393081489451746), B cell plasma_CIBERSORT(0.258770504665013), Hematopoietic stem cell_XCELL(0.279422271003257), Class-switched memory B cell_XCELL(0.451925557297803), B cell memory_CIBERSORT(0.393081489451746), B cell plasma_CIBERSORT(0.258770504665013), Hematopoietic stem cell_XCELL(0.279422271003257), Class-switched memory B cell_XCELL(0.451925557297803) )
hsa-miR-301a-3p	THYM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0.582656445815646 ( T cell CD4+ Th2_XCELL(0.582656445815646) )
hsa-miR-301a-5p	KICH	Underexpression			NS	No data
hsa-miR-301a-5p	LIHC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.329205431401509 ( T cell CD4+ Th1_XCELL(0.329205431401509) ) Pró-tumoral: -0.314218576365347 ( Endothelial cell_XCELL(-0.314218576365347) ) Dualista: 0.071773304545972 ( T cell CD4+ Th2_XCELL(0.373299943093629), Hematopoietic stem cell_XCELL(-0.301526638547657) )
hsa-miR-301a-5p	LUAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.276272559546704 ( T cell CD4+ Th1_XCELL(0.276272559546704) ) Pró-tumoral: 0 (  ) Dualista: -0.246610534637548 ( Hematopoietic stem cell_XCELL(-0.246610534637548) )
hsa-miR-302a-5p	LGG	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: -0.307116726689696 ( T cell CD4+ Th1_XCELL(-0.307116726689696) ) Pró-tumoral: -0.246077251799961 ( Endothelial cell_XCELL(-0.246077251799961) ) Dualista: 0 (  )
hsa-miR-30a-3p	LGG	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: -0.081912378830379 ( T cell CD4+ Th1_XCELL(-0.336776025043731), Common lymphoid progenitor_XCELL(0.254863646213352) ) Pró-tumoral: 0 (  ) Dualista: 0.333295080513228 ( Hematopoietic stem cell_XCELL(0.333295080513228) )
hsa-miR-30a-3p	LUAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.108126522641216 ( Granulocyte-monocyte progenitor_XCELL(0.275515880784056), T cell CD4+ Th1_XCELL(-0.383642403425272) ) Pró-tumoral: -0.591082008777962 ( Endothelial cell_XCELL(0.318638424193997), Cancer associated fibroblast_XCELL(0.272443584583965) ) Dualista: -0.817941783101574 ( Hematopoietic stem cell_XCELL(0.47039315626525), Mast cell activated_CIBERSORT(0.347548626836324) )
hsa-miR-30a-3p	STAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.602246306400206 ( Common lymphoid progenitor_XCELL(-0.310884199757371), T cell CD4+ Th1_XCELL(-0.291362106642835) ) Pró-tumoral: -0.573259796081797 ( Cancer associated fibroblast_XCELL(0.301417230576426), Endothelial cell_XCELL(0.271842565505371) ) Dualista: -0.432763273337446 ( Mast cell activated_CIBERSORT(0.300841249384478), T cell CD4+ Th2_XCELL(-0.302439477432852), Hematopoietic stem cell_XCELL(0.43436150138582) )
hsa-miR-30a-3p	THCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0.021920333916995 ( Endothelial cell_XCELL(0.311021263143082), T cell regulatory (Tregs)_CIBERSORT(-0.332941597060077) ) Dualista: 1.027860764762 ( Myeloid dendritic cell resting_CIBERSORT(-0.362044069704122), Class-switched memory B cell_XCELL(-0.393465407001681), B cell memory_CIBERSORT(-0.2723512880562) )
hsa-miR-30a-5p	COAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0.683619425841988 ( Endothelial cell_XCELL(0.341809712920994), Endothelial cell_XCELL(0.341809712920994) ) Dualista: 1.70760115595879 ( Mast cell activated_CIBERSORT(0.33004877099691), Hematopoietic stem cell_XCELL(0.523751806982486), Mast cell activated_CIBERSORT(0.33004877099691), Hematopoietic stem cell_XCELL(0.523751806982486) )
hsa-miR-30a-5p	LGG	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: -0.419956475845711 ( T cell CD4+ Th1_XCELL(-0.419956475845711) ) Pró-tumoral: 0 (  ) Dualista: 0.360477060211122 ( Hematopoietic stem cell_XCELL(0.360477060211122) )
hsa-miR-30a-5p	LUAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.355986743341691 ( T cell CD4+ Th1_XCELL(-0.355986743341691) ) Pró-tumoral: -0.617173052297163 ( Cancer associated fibroblast_XCELL(0.297227538294535), Endothelial cell_XCELL(0.319945514002628) ) Dualista: -0.81797765398425 ( Hematopoietic stem cell_XCELL(0.495694577831107), T cell CD4+ Th2_XCELL(-0.306828190183687), Mast cell activated_CIBERSORT(0.376681755769307), Monocyte_CIBERSORT(0.252429510567523) )
hsa-miR-30a-5p	LUSC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: -0.268121040345139 ( Hematopoietic stem cell_XCELL(0.268121040345139) )
hsa-miR-30a-5p	STAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.394607406980219 ( T cell CD4+ Th1_XCELL(-0.394607406980219) ) Pró-tumoral: 0 (  ) Dualista: -0.489257483046183 ( T cell CD4+ Th2_XCELL(-0.300567704841342), Hematopoietic stem cell_XCELL(0.418455804407102), Mast cell activated_CIBERSORT(0.371369383480423) )
hsa-miR-30b-3p	KIRC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-30b-3p	STAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.318864149981144 ( Cancer associated fibroblast_XCELL(-0.318864149981144) ) Dualista: -0.544143347655768 ( Hematopoietic stem cell_XCELL(-0.272990893076017), Mast cell activated_CIBERSORT(-0.271152454579751) )
hsa-miR-30b-3p	THCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-30c-1-3p	THCA	Underexpression	Variável	T cell regulatory (Tregs)_CIBERSORT, -0.242980124937674, 1, Variable	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.242980124937674 ( T cell regulatory (Tregs)_CIBERSORT(-0.242980124937674) ) Dualista: 0.077779819973088 ( NK cell resting_CIBERSORT(0.258445778453311), Class-switched memory B cell_XCELL(-0.336225598426399) )
hsa-miR-30c-2-3p	BRCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.190843604161061 ( T cell CD4+ memory activated_CIBERSORT(-0.190843604161061) ) Pró-tumoral: 0 (  ) Dualista: 0.13061646551979 ( Mast cell activated_CIBERSORT(0.199381171640636), Macrophage M0_CIBERSORT(-0.189576599467016), Hematopoietic stem cell_XCELL(0.224529538018113), T cell CD4+ Th2_XCELL(-0.364950575711523) )
hsa-miR-30c-2-3p	COAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.354347268566078 ( T cell CD4+ Th1_XCELL(-0.354347268566078) ) Pró-tumoral: -0.330606085598706 ( Endothelial cell_XCELL(0.330606085598706) ) Dualista: -0.482637351044044 ( Hematopoietic stem cell_XCELL(0.482637351044044) )
hsa-miR-30c-2-3p	LIHC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-30c-2-3p	LUAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.1140200045411 ( T cell CD4+ Th1_XCELL(-0.372824979271235), Granulocyte-monocyte progenitor_XCELL(0.258804974730135) ) Pró-tumoral: -0.691564503492268 ( Endothelial cell_XCELL(0.388024026674092), Cancer associated fibroblast_XCELL(0.303540476818176) ) Dualista: -0.568443402737932 ( Hematopoietic stem cell_XCELL(0.493886192535734), Mast cell activated_CIBERSORT(0.349445336016991), T cell CD4+ Th2_XCELL(-0.274888125814793) )
hsa-miR-30c-2-3p	STAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 1.96635929296852 ( T cell CD4+ Th1_XCELL(-0.28804566477069), T cell CD4+ memory activated_CIBERSORT(-0.367407432885485), T cell CD4+ Th1_XCELL(-0.28804566477069), T cell CD4+ memory activated_CIBERSORT(-0.367407432885485), T cell CD4+ Th1_XCELL(-0.28804566477069), T cell CD4+ memory activated_CIBERSORT(-0.367407432885485) ) Pró-tumoral: -0.869646648444162 ( Endothelial cell_XCELL(0.289882216148054), Endothelial cell_XCELL(0.289882216148054), Endothelial cell_XCELL(0.289882216148054) ) Dualista: -2.09452248266787 ( B cell memory_CIBERSORT(0.266495058239416), Hematopoietic stem cell_XCELL(0.412815233196394), Mast cell activated_CIBERSORT(0.385549133663211), T cell CD4+ Th2_XCELL(-0.366685264209731), B cell memory_CIBERSORT(0.266495058239416), Hematopoietic stem cell_XCELL(0.412815233196394), Mast cell activated_CIBERSORT(0.385549133663211), T cell CD4+ Th2_XCELL(-0.366685264209731), B cell memory_CIBERSORT(0.266495058239416), Hematopoietic stem cell_XCELL(0.412815233196394), Mast cell activated_CIBERSORT(0.385549133663211), T cell CD4+ Th2_XCELL(-0.366685264209731) )
hsa-miR-30c-2-3p	THCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.033344962597341 ( T cell regulatory (Tregs)_CIBERSORT(-0.385499290582942), Endothelial cell_XCELL(0.418844253180283) ) Dualista: 0.728465519981834 ( T cell CD4+ Th2_XCELL(-0.259848359854371), B cell plasma_CIBERSORT(0.259865197815055), Class-switched memory B cell_XCELL(-0.488797053867847), Hematopoietic stem cell_XCELL(0.267583304130302), B cell memory_CIBERSORT(-0.32464707431157), Myeloid dendritic cell resting_CIBERSORT(-0.430106472757303), NK cell resting_CIBERSORT(0.2474849388639) )
hsa-miR-30c-5p	LGG	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0.613137127602124 ( Class-switched memory B cell_XCELL(0.306568563801062), Class-switched memory B cell_XCELL(0.306568563801062) )
hsa-miR-30d-3p	COAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: -0.356329524753261 ( Hematopoietic stem cell_XCELL(-0.356329524753261) )
hsa-miR-30d-3p	HNSC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: -0.26150531439944 ( T cell follicular helper_CIBERSORT(0.26150531439944) )
hsa-miR-30e-3p	LGG	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0.237566914874975 ( Common lymphoid progenitor_XCELL(0.237566914874975) ) Pró-tumoral: 0 (  ) Dualista: 0.34987479891337 ( Class-switched memory B cell_XCELL(0.326739645103016), T cell CD4+ naive_CIBERSORT(-0.26302812467178), T cell CD4+ memory resting_CIBERSORT(0.286163278482134) )
hsa-miR-30e-5p	BLCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: -0.289727557249737 ( Granulocyte-monocyte progenitor_XCELL(-0.289727557249737) ) Pró-tumoral: -0.410727453837873 ( Cancer associated fibroblast_XCELL(-0.410727453837873) ) Dualista: -0.347229301616906 ( T cell CD4+ Th2_XCELL(-0.347229301616906) )
hsa-miR-30e-5p	BRCA	Overexpression	Variável	Macrophage M1_CIBERSORT, 0.180256600948857, 1, Variable	anti-tumoral	Anti-tumoral: 0.413838278808256 ( T cell CD4+ memory activated_CIBERSORT(0.233581677859399), Macrophage M1_CIBERSORT(0.180256600948857) ) Pró-tumoral: -0.478296429174004 ( Cancer associated fibroblast_XCELL(-0.26770191838308), Endothelial cell_XCELL(-0.210594510790924) ) Dualista: -0.207639141490429 ( Hematopoietic stem cell_XCELL(-0.224901698238728), Mast cell activated_CIBERSORT(-0.30296072357403), T cell CD4+ Th2_XCELL(0.320223280322329) )
hsa-miR-30e-5p	KICH	Overexpression			NS	No data
hsa-miR-30e-5p	KIRC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-30e-5p	STAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.275324710799997 ( T cell CD4+ memory activated_CIBERSORT(0.275324710799997) ) Pró-tumoral: -0.363669519594695 ( Cancer associated fibroblast_XCELL(-0.363669519594695) ) Dualista: -0.586282928234137 ( Hematopoietic stem cell_XCELL(-0.292291055072557), Mast cell activated_CIBERSORT(-0.29399187316158) )
hsa-miR-31-5p	STAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.302506677956419 ( Cancer associated fibroblast_XCELL(-0.302506677956419) ) Dualista: -0.267122141496984 ( Hematopoietic stem cell_XCELL(-0.267122141496984) )
hsa-miR-3127-5p	LGG	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-3127-5p	LUAD	Overexpression			NS	No data
hsa-miR-320a	KIRC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-320b	BLCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: -0.267565265006516 ( Granulocyte-monocyte progenitor_XCELL(-0.267565265006516) ) Pró-tumoral: -0.337854632317945 ( Cancer associated fibroblast_XCELL(-0.337854632317945) ) Dualista: -0.289383100045581 ( Hematopoietic stem cell_XCELL(-0.289383100045581) )
hsa-miR-320b	BRCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.166661533093807 ( Endothelial cell_XCELL(-0.166661533093807) ) Dualista: -0.05364213755953 ( T cell CD4+ Th2_XCELL(0.188468389268679), Mast cell activated_CIBERSORT(-0.242110526828209) )
hsa-miR-320b	HNSC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-320b	LUSC	Overexpression			NS	No data
hsa-miR-320b	STAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.310386665215428 ( Cancer associated fibroblast_XCELL(-0.310386665215428) ) Dualista: -0.649990339676216 ( Mast cell activated_CIBERSORT(-0.341752412569951), Hematopoietic stem cell_XCELL(-0.308237927106265) )
hsa-miR-324-3p	BLCA	Overexpression	Variável	Macrophage M1_CIBERSORT, -0.302622248090567, 1, Variable	dualista	Anti-tumoral: -0.575807822142769 ( Macrophage M1_CIBERSORT(-0.302622248090567), Granulocyte-monocyte progenitor_XCELL(-0.273185574052202) ) Pró-tumoral: -0.433513681499986 ( Cancer associated fibroblast_XCELL(-0.433513681499986) ) Dualista: -0.317656007054941 ( Hematopoietic stem cell_XCELL(-0.317656007054941) )
hsa-miR-324-3p	BRCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.202962186273828 ( T cell CD4+ memory activated_CIBERSORT(0.202962186273828) ) Pró-tumoral: -0.668431950835389 ( Cancer associated fibroblast_XCELL(-0.333437571494901), Endothelial cell_XCELL(-0.334994379340488) ) Dualista: -0.316684576573674 ( Mast cell activated_CIBERSORT(-0.290345425088396), T cell CD4+ Th2_XCELL(0.378164456868951), Hematopoietic stem cell_XCELL(-0.404503608354229) )
hsa-miR-324-3p	ESCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0.400863122104114 ( T cell CD4+ Th2_XCELL(0.400863122104114) )
hsa-miR-324-3p	LIHC	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.291585934237757 ( T cell CD4+ Th1_XCELL(0.291585934237757) ) Pró-tumoral: 0 (  ) Dualista: 0.291162963766543 ( T cell CD4+ Th2_XCELL(0.291162963766543) )
hsa-miR-324-3p	SKCM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-324-3p	THCA	Unchanged	Variável	Macrophage M1_CIBERSORT, -0.239952996691589, 1, Variable	dualista	Anti-tumoral: -0.239952996691589 ( Macrophage M1_CIBERSORT(-0.239952996691589) ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
hsa-miR-324-3p	THYM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0.509708333566904 ( T cell CD4+ Th2_XCELL(0.509708333566904) )
hsa-miR-324-5p	BRCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.459303017902449 ( T cell CD4+ memory activated_CIBERSORT(0.216724738876434), T cell CD4+ Th1_XCELL(0.242578279026015) ) Pró-tumoral: -0.682411529594255 ( Cancer associated fibroblast_XCELL(-0.350766289699656), Endothelial cell_XCELL(-0.331645239894599) ) Dualista: -0.222153094336192 ( Mast cell activated_CIBERSORT(-0.382474954272855), Macrophage M0_CIBERSORT(0.204176115287692), T cell CD4+ Th2_XCELL(0.379226768242781), Hematopoietic stem cell_XCELL(-0.42308102359381) )
hsa-miR-324-5p	THYM	Unchanged			NS	No data
hsa-miR-326	LUSC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.360647790598058 ( Endothelial cell_XCELL(0.360647790598058) ) Dualista: 0 (  )
hsa-miR-328-3p	PCPG	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.425605507315015 ( Endothelial cell_XCELL(-0.425605507315015) ) Dualista: -0.398766851386571 ( Hematopoietic stem cell_XCELL(-0.398766851386571) )
hsa-miR-328-3p	THCA	Unchanged	Frio	"c(""""Macrophage M1_CIBERSORT"""", """"T cell regulatory (Tregs)_CIBERSORT""""), c(-0.252827219631727, -0.245507013651549), c(1, 1), c(""""Variable"""", """"Cold"""")"	pró-tumoral	Anti-tumoral: -0.252827219631727 ( Macrophage M1_CIBERSORT(-0.252827219631727) ) Pró-tumoral: -0.245507013651549 ( T cell regulatory (Tregs)_CIBERSORT(-0.245507013651549) ) Dualista: -0.529217896703363 ( T cell CD4+ Th2_XCELL(-0.2860526514505), Class-switched memory B cell_XCELL(-0.243165245252863) )
hsa-miR-330-5p	UCEC	Overexpression			NS	No data
hsa-miR-331-5p	LUAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: -0.25394911600805 ( Granulocyte-monocyte progenitor_XCELL(-0.25394911600805) ) Pró-tumoral: -0.255011187749843 ( Cancer associated fibroblast_XCELL(-0.255011187749843) ) Dualista: 0.272757534936756 ( T cell CD4+ Th2_XCELL(0.272757534936756) )
hsa-miR-335-3p	UCEC	Overexpression			NS	No data
hsa-miR-338-5p	LUSC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.343134790624488 ( Endothelial cell_XCELL(0.343134790624488) ) Dualista: 0 (  )
hsa-miR-338-5p	PRAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
